iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12
59	1.708722112	0	0.5170731707	0.3878787879	0.3466666667	0	0.5704467354	0.3157894737	0.56	0.6262626263	0.4603174603	0.7364341085	0.5644171779	0.6799116998
60	1.701472724	0	0.5196078431	0.3855421687	0.3466666667	0	0.5655172414	0.3421052632	0.5742574257	0.6262626263	0.4566929134	0.7339805825	0.5679012346	0.6828193833
61	1.69403631	0	0.5221674877	0.3975903614	0.3466666667	0	0.5783972125	0.3636363636	0.5882352941	0.6432160804	0.4724409449	0.7339805825	0.5679012346	0.6857142857
62	1.687174615	0	0.5196078431	0.3680981595	0.3466666667	0	0.5704467354	0.3376623377	0.568627451	0.6294416244	0.46875	0.7339805825	0.5679012346	0.6828193833
63	1.679966561	0	0.5221674877	0.3902439024	0.3466666667	0	0.5862068966	0.358974359	0.56	0.6262626263	0.46875	0.7339805825	0.5679012346	0.6857142857
64	1.673338418	0	0.5247524752	0.3878787879	0.3466666667	0	0.5813148789	0.3896103896	0.5742574257	0.64	0.484375	0.7354085603	0.5679012346	0.6857142857
65	1.665742265	0	0.5273631841	0.3757575758	0.3466666667	0	0.5813148789	0.3896103896	0.5825242718	0.6464646465	0.484375	0.7378640777	0.5679012346	0.6857142857
66	1.659198828	0	0.5353535354	0.3780487805	0.3466666667	0	0.5821917808	0.4102564103	0.5825242718	0.6428571429	0.496124031	0.7378640777	0.5714285714	0.6914660832
67	1.651787358	0	0.538071066	0.3757575758	0.3466666667	0	0.5821917808	0.4050632911	0.568627451	0.6395939086	0.4724409449	0.7364341085	0.575	0.6943231441
68	1.645112178	0	0.5408163265	0.3952095808	0.3466666667	0	0.5862068966	0.4050632911	0.568627451	0.6395939086	0.480620155	0.7378640777	0.5838509317	0.6958424508
69	1.638103062	0	0.5463917526	0.4047619048	0.3466666667	0	0.5910652921	0.4102564103	0.5882352941	0.6497461929	0.496124031	0.7378640777	0.5838509317	0.6986899563
70	1.631045178	0	0.5463917526	0.4071856287	0.3421052632	0	0.5910652921	0.4102564103	0.5742574257	0.6532663317	0.496124031	0.7378640777	0.5838509317	0.6958424508
71	1.623548188	0	0.5492227979	0.4071856287	0.32	0	0.5910652921	0.4102564103	0.5742574257	0.66	0.496124031	0.7378640777	0.5802469136	0.6914660832
72	1.616723653	0	0.5492227979	0.4096385542	0.3421052632	0	0.5910652921	0.4102564103	0.5882352941	0.6565656566	0.484375	0.7388781431	0.5838509317	0.6943231441
73	1.609860736	0	0.5520833333	0.4096385542	0.3421052632	0	0.5951557093	0.4102564103	0.6019417476	0.6633165829	0.4881889764	0.7388781431	0.5838509317	0.7
74	1.602886439	0	0.5520833333	0.3975903614	0.3421052632	0	0.5902777778	0.4102564103	0.5961538462	0.6666666667	0.4881889764	0.7413127413	0.5838509317	0.7
75	1.597079801	0	0.5492227979	0.4146341463	0.3421052632	0	0.6020761246	0.4102564103	0.6078431373	0.6666666667	0.4881889764	0.7427466151	0.5838509317	0.7
76	1.590622801	0	0.5492227979	0.4121212121	0.3421052632	0	0.5972222222	0.4155844156	0.6213592233	0.67	0.4881889764	0.7413127413	0.5838509317	0.7
77	1.58422485	0	0.5567010309	0.4121212121	0.3421052632	0	0.6041666667	0.4102564103	0.6213592233	0.6565656566	0.484375	0.7413127413	0.5838509317	0.697167756
78	1.578116041	0	0.5492227979	0.4121212121	0.3421052632	0	0.6	0.4155844156	0.6213592233	0.6633165829	0.4881889764	0.7413127413	0.5838509317	0.697167756
79	1.571681439	0	0.5641025641	0.421686747	0.32	0	0.6020761246	0.4358974359	0.6213592233	0.6633165829	0.4920634921	0.7413127413	0.5875	0.697167756
80	1.565360355	0	0.5625	0.421686747	0.32	0	0.5979381443	0.4102564103	0.6153846154	0.6666666667	0.4920634921	0.7413127413	0.5875	0.7
81	1.55871582	0	0.5684210526	0.4311377246	0.3421052632	0	0.6041666667	0.4197530864	0.6153846154	0.6632653061	0.5	0.7413127413	0.5875	0.7
82	1.55213227	0	0.5654450262	0.4311377246	0.3684210526	0	0.6020761246	0.425	0.6153846154	0.6598984772	0.4881889764	0.7413127413	0.5875	0.7015250545
83	1.545253776	0	0.5684210526	0.4404761905	0.3636363636	0	0.6	0.4303797468	0.6153846154	0.6530612245	0.496124031	0.7427466151	0.5875	0.7030567686
84	1.538994185	0	0.5729166667	0.4404761905	0.3684210526	0	0.6041666667	0.4444444444	0.6153846154	0.6700507614	0.5079365079	0.7413127413	0.5875	0.7030567686
85	1.532899833	0	0.5578947368	0.4431137725	0.3684210526	0	0.6041666667	0.4444444444	0.6153846154	0.6666666667	0.5	0.7441860465	0.5875	0.7086956522
