iter	Passed	Remaining
403	10142	14962
404	10165	14934
405	10188	14905
406	10212	14879
407	10236	14852
408	10259	14825
409	10285	14801
410	10310	14776
411	10333	14748
412	10360	14726
413	10383	14697
414	10404	14665
415	10425	14635
416	10449	14608
417	10475	14584
418	10499	14559
419	10525	14535
420	10549	14509
421	10573	14482
422	10599	14458
423	10624	14433
424	10647	14405
425	10673	14381
426	10697	14355
427	10726	14335
428	10752	14311
429	10776	14285
430	10802	14261
431	10825	14233
432	10849	14207
433	10871	14177
434	10895	14151
435	10920	14126
436	10946	14102
437	10975	14083
438	10999	14056
439	11021	14027
440	11042	13997
441	11068	13972
442	11094	13948
443	11117	13921
444	11141	13895
445	11165	13869
446	11189	13843
447	11213	13816
448	11238	13791
449	11261	13764
450	11287	13739
451	11311	13713
452	11337	13689
453	11362	13664
454	11388	13641
455	11413	13615
456	11436	13588
457	11464	13566
458	11488	13541
459	11511	13513
460	11536	13488
461	11559	13461
462	11588	13440
463	11612	13414
464	11637	13389
465	11665	13367
466	11689	13341
467	11712	13314
468	11735	13286
469	11758	13259
470	11780	13231
471	11806	13206
472	11829	13179
473	11852	13153
474	11879	13129
475	11904	13104
476	11928	13078
477	11951	13052
478	11977	13027
479	12001	13001
480	12027	12977
481	12053	12953
482	12078	12928
483	12100	12900
484	12123	12872
485	12146	12846
486	12170	12820
487	12196	12796
488	12221	12771
489	12245	12744
490	12271	12720
491	12292	12692
492	12317	12666
493	12344	12644
494	12367	12617
495	12389	12589
496	12413	12563
497	12437	12537
498	12460	12510
499	12485	12485
500	12508	12458
501	12531	12431
502	12555	12405
503	12580	12381
504	12605	12356
505	12628	12329
506	12651	12301
507	12675	12275
508	12698	12249
509	12721	12223
510	12747	12198
511	12772	12174
512	12802	12153
513	12825	12126
514	12847	12099
515	12870	12072
516	12896	12048
517	12919	12021
518	12941	11993
519	12965	11968
520	12987	11940
521	13013	11916
522	13034	11888
523	13059	11863
524	13099	11852
525	13126	11828
526	13150	11803
527	13172	11774
528	13198	11751
529	13221	11724
530	13246	11699
531	13268	11672
532	13294	11647
533	13318	11622
534	13345	11599
535	13369	11573
536	13393	11547
537	13415	11520
538	13439	11495
539	13462	11468
540	13487	11443
541	13511	11417
542	13536	11392
543	13560	11367
544	13586	11342
545	13607	11314
546	13629	11287
547	13650	11259
548	13672	11232
549	13695	11205
550	13720	11180
551	13744	11154
552	13768	11129
553	13792	11103
554	13814	11076
555	13839	11051
556	13863	11026
557	13888	11000
558	13913	10976
559	13937	10950
560	13963	10927
561	13986	10900
562	14009	10874
563	14032	10848
564	14056	10821
565	14078	10794
566	14102	10769
567	14129	10746
568	14152	10720
569	14177	10695
570	14201	10669
571	14225	10644
572	14248	10618
573	14273	10593
574	14297	10567
575	14320	10541
576	14342	10514
577	14367	10489
578	14392	10465
579	14417	10440
580	14441	10414
581	14466	10390
582	14491	10365
583	14517	10341
584	14540	10314
585	14563	10289
586	14584	10261
587	14617	10241
588	14643	10218
589	14666	10191
590	14689	10166
591	14713	10140
592	14738	10115
593	14765	10092
594	14792	10068
595	14816	10043
596	14841	10018
597	14868	9994
598	14891	9969
599	14914	9942
600	14936	9916
601	14959	9890
602	14986	9866
603	15009	9840
604	15033	9815
605	15060	9791
606	15082	9765
607	15107	9740
608	15132	9715
609	15156	9690
610	15178	9663
611	15203	9638
612	15230	9615
613	15254	9590
614	15280	9565
615	15305	9541
616	15330	9516
617	15354	9490
618	15378	9465
619	15403	9440
620	15428	9416
621	15453	9391
622	15477	9365
623	15503	9341
624	15529	9317
625	15554	9292
626	15575	9265
627	15599	9240
628	15624	9215
629	15647	9189
630	15668	9162
631	15693	9138
632	15715	9111
633	15739	9086
634	15763	9061
635	15787	9035
636	15813	9011
637	15838	8986
638	15864	8962
639	15888	8937
640	15912	8912
641	15936	8886
642	15962	8862
643	15989	8839
644	16016	8815
645	16040	8789
646	16062	8763
647	16086	8738
